"1","Can add log entry","1","add_logentry"
"2","Can change log entry","1","change_logentry"
"3","Can delete log entry","1","delete_logentry"
"4","Can add permission","2","add_permission"
"5","Can change permission","2","change_permission"
"6","Can delete permission","2","delete_permission"
"7","Can add group","3","add_group"
"8","Can change group","3","change_group"
"9","Can delete group","3","delete_group"
"10","Can add user","4","add_user"
"11","Can change user","4","change_user"
"12","Can delete user","4","delete_user"
"13","Can add content type","5","add_contenttype"
"14","Can change content type","5","change_contenttype"
"15","Can delete content type","5","delete_contenttype"
"16","Can add session","6","add_session"
"17","Can change session","6","change_session"
"18","Can delete session","6","delete_session"
"19","Can add Ejecutivo de Medio","7","add_ejecutivo"
"20","Can change Ejecutivo de Medio","7","change_ejecutivo"
"21","Can delete Ejecutivo de Medio","7","delete_ejecutivo"
"22","Can add Miembro Directorio","8","add_empresario"
"23","Can change Miembro Directorio","8","change_empresario"
"24","Can delete Miembro Directorio","8","delete_empresario"
"25","Can add Género Medio Escrito","9","add_generoescrito"
"26","Can change Género Medio Escrito","9","change_generoescrito"
"27","Can delete Género Medio Escrito","9","delete_generoescrito"
"28","Can add Región","10","add_region"
"29","Can change Región","10","change_region"
"30","Can delete Región","10","delete_region"
"31","Can add Ciudad","11","add_ciudad"
"32","Can change Ciudad","11","change_ciudad"
"33","Can delete Ciudad","11","delete_ciudad"
"34","Can add Sector de Actividad Socio","12","add_sector"
"35","Can change Sector de Actividad Socio","12","change_sector"
"36","Can delete Sector de Actividad Socio","12","delete_sector"
"37","Can add Periodicidad","13","add_periodicidad"
"38","Can change Periodicidad","13","change_periodicidad"
"39","Can delete Periodicidad","13","delete_periodicidad"
"40","Can add Tipo Sociedad","14","add_tiposociedad"
"41","Can change Tipo Sociedad","14","change_tiposociedad"
"42","Can delete Tipo Sociedad","14","delete_tiposociedad"
"43","Can add Socio","15","add_sociedad"
"44","Can change Socio","15","change_sociedad"
"45","Can delete Socio","15","delete_sociedad"
"46","Can add Empresa Controladora","16","add_propietario"
"47","Can change Empresa Controladora","16","change_propietario"
"48","Can delete Empresa Controladora","16","delete_propietario"
"49","Can add Medio Escrito","17","add_escrito"
"50","Can change Medio Escrito","17","change_escrito"
"51","Can delete Medio Escrito","17","delete_escrito"
"52","Can add Género Radio","18","add_generoradio"
"53","Can change Género Radio","18","change_generoradio"
"54","Can delete Género Radio","18","delete_generoradio"
"55","Can add Radio","19","add_radio"
"56","Can change Radio","19","change_radio"
"57","Can delete Radio","19","delete_radio"
"58","Can add Género Canal TV","20","add_generocanaltv"
"59","Can change Género Canal TV","20","change_generocanaltv"
"60","Can delete Género Canal TV","20","delete_generocanaltv"
"61","Can add Canal de TV","21","add_canaltv"
"62","Can change Canal de TV","21","change_canaltv"
"63","Can delete Canal de TV","21","delete_canaltv"
"64","Can add Género Medio Digital","22","add_generomediodigital"
"65","Can change Género Medio Digital","22","change_generomediodigital"
"66","Can delete Género Medio Digital","22","delete_generomediodigital"
"67","Can add Medio Digital","23","add_mediodigital"
"68","Can change Medio Digital","23","change_mediodigital"
"69","Can delete Medio Digital","23","delete_mediodigital"
"70","Can add Autor","24","add_autor"
